"filename", "language", "C++", "Dart", "JSON", "Properties", "YAML", "Markdown", "Shell Script", "HTML", "Swift", "XML", "Groovy", "Docker", "comment", "blank", "total"
"e:\Apps\pipe_and_filter\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, -4, -16
"e:\Apps\pipe_and_filter\pubspec.yaml", "YAML", 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, -5, -44
"e:\Apps\pipe_and_filter\server\server.sh", "Shell Script", 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -5, -4, -15
"e:\Apps\pipe_and_filter\sonar-project.properties", "Properties", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"e:\Apps\pipe_and_filter\test\widget_test.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -6, -30
"e:\Apps\pipe_and_filter\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, -16, -10, -87
"e:\Apps\pipe_and_filter\web\manifest.json", "JSON", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35
"e:\Apps\pipe_and_filter\windows\flutter\generated_plugin_registrant.cc", "C++", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -15
"e:\Apps\pipe_and_filter\windows\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"e:\Apps\pipe_and_filter\windows\runner\flutter_window.cpp", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15, -67
"e:\Apps\pipe_and_filter\windows\runner\flutter_window.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"e:\Apps\pipe_and_filter\windows\runner\main.cpp", "C++", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"e:\Apps\pipe_and_filter\windows\runner\resource.h", "C++", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"e:\Apps\pipe_and_filter\windows\runner\utils.cpp", "C++", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"e:\Apps\pipe_and_filter\windows\runner\utils.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"e:\Apps\pipe_and_filter\windows\runner\win32_window.cpp", "C++", -210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -55, -289
"e:\Apps\pipe_and_filter\windows\runner\win32_window.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", -532, -14, -255, -16, -71, -5, -6, -61, -54, -466, -89, -19, -223, -283, -2094
